lambda,mu,shape,  n, d,max_t
0.5,1,0.5,10,1,100000.0,1.1156752034531365
0.5,1,1.0,10,1,100000.0,1.657085817094286
0.5,1,2.0,10,1,100000.0,1.9439234163184018
0.5,1,0.5,10,2,100000.0,1.3259350442515236
0.5,1,1.0,10,2,100000.0,1.6896464935257633
0.5,1,2.0,10,2,100000.0,1.821715757005095
0.5,1,0.5,10,5,100000.0,1.4955099997665142
0.5,1,1.0,10,5,100000.0,1.7747193386358506
0.5,1,2.0,10,5,100000.0,1.8577599064269925
0.5,1,0.5,10,10,100000.0,1.555876540102496
0.5,1,1.0,10,10,100000.0,1.8154695188879033
0.5,1,2.0,10,10,100000.0,1.9180352772669658
0.7,1,0.5,10,1,100000.0,0.9993601134563731
0.7,1,1.0,10,1,100000.0,1.5978684778748333
0.7,1,2.0,10,1,100000.0,2.002815320609459
0.7,1,0.5,10,2,100000.0,1.1835337416109224
0.7,1,1.0,10,2,100000.0,1.5629678712459956
0.7,1,2.0,10,2,100000.0,1.7249616248669648
0.7,1,0.5,10,5,100000.0,1.3185516998803737
0.7,1,1.0,10,5,100000.0,1.5827892633407257
0.7,1,2.0,10,5,100000.0,1.6449142205644458
0.7,1,0.5,10,10,100000.0,1.3623020409777387
0.7,1,1.0,10,10,100000.0,1.600440125551942
0.7,1,2.0,10,10,100000.0,1.626444092619665
0.9,1,0.5,10,1,100000.0,0.9207164225341887
0.9,1,1.0,10,1,100000.0,1.580642730871054
0.9,1,2.0,10,1,100000.0,2.1462937394043435
0.9,1,0.5,10,2,100000.0,1.0810578342588208
0.9,1,1.0,10,2,100000.0,1.492049938795126
0.9,1,2.0,10,2,100000.0,1.7212746056930621
0.9,1,0.5,10,5,100000.0,1.1948334346097338
0.9,1,1.0,10,5,100000.0,1.4666524738573088
0.9,1,2.0,10,5,100000.0,1.5699600009969195
0.9,1,0.5,10,10,100000.0,1.2333322874651655
0.9,1,1.0,10,10,100000.0,1.47475562182882
0.9,1,2.0,10,10,100000.0,1.5406670668242353
0.95,1,0.5,10,1,100000.0,0.9046590322561451
0.95,1,1.0,10,1,100000.0,1.5781273720963773
0.95,1,2.0,10,1,100000.0,2.2012185985555477
0.95,1,0.5,10,2,100000.0,1.0599083958730922
0.95,1,1.0,10,2,100000.0,1.4801471859601918
0.95,1,2.0,10,2,100000.0,1.7279573642895465
0.95,1,0.5,10,5,100000.0,1.1716717087116766
0.95,1,1.0,10,5,100000.0,1.4491954469199773
0.95,1,2.0,10,5,100000.0,1.5646928154995992
0.95,1,0.5,10,10,100000.0,1.207511452605577
0.95,1,1.0,10,10,100000.0,1.4516098602331085
0.95,1,2.0,10,10,100000.0,1.532345337714004
0.99,1,0.5,10,1,100000.0,0.8893360611897404
0.99,1,1.0,10,1,100000.0,1.5806853456126022
0.99,1,2.0,10,1,100000.0,2.249006452686033
0.99,1,0.5,10,2,100000.0,1.0426193820717968
0.99,1,1.0,10,2,100000.0,1.4703365333412144
0.99,1,2.0,10,2,100000.0,1.7398942828448927
0.99,1,0.5,10,5,100000.0,1.1519435354522163
0.99,1,1.0,10,5,100000.0,1.436446546571729
0.99,1,2.0,10,5,100000.0,1.5622447113648952
0.99,1,0.5,10,10,100000.0,1.1889583925107146
0.99,1,1.0,10,10,100000.0,1.438211336908372
0.99,1,2.0,10,10,100000.0,1.5276346393334552
